Регион;Округ;Год;Направления реализации государственной молодeжной политики;№ строки; Бюджет СРФ, руб ; Бюджет МО, руб ; Кол-во грантов ; Бюджет грантов, руб ; Численность молодeжи, задействованной в программных мероприятиях по направлению ; Количество детских и молодeжных общественных объединений, работающих по данному  ;;;
Архангельская область;СЗФО;2021;"      на развитие и мероприятия
      военно-патриотических клубов";18; 10 000 000 ; 1 499 003 ; 8 ; 1 554 591,00 ; 27 980 ; 675 ;;;
Архангельская область;СЗФО;2021;      поисковых отрядов и объединений;19; 18 922 ; 453 266 ; 1 ; 300 000,00 ; 692 ; 23 ;;;
Архангельская область;СЗФО;2021;      историко-краеведческих кружков и объединений исторической реконструкции;20; -   ; -   ; 1 ; 90 000,00 ; 5 078 ; 247 ;;;
Архангельская область;СЗФО;2021;      молодeжных казачьих объединений;21; -   ; -   ; -   ; -   ; -   ; -   ;;;
Архангельская область;СЗФО;2021;"      волонтeрских объединений в сфере
      патриотического воспитания детей
      и молодeжи";22; 242 208 ; 179 005 ; 5 ; 248 020,00 ; 9 428 ; 289 ;;;
Архангельская область;СЗФО;2021;      другие;23; 119 489 900 ; 363 984 ; 56 ; 8 693 585,00 ; 22 740 ; 314 ;;;
Архангельская область;СЗФО;2021;Формирование российской идентичности, единства российской нации, содействие межкультурному и межконфессиональному диалогу;24; 8 058 300 ; 80 865 ; 1 ; 10 123,00 ; 18 039 ; 86 ;;;
Архангельская область;СЗФО;2021;Вовлечение молодeжи в волонтeрскую деятельность;25; 6 281 793 ; 502 604 ; -   ; -   ; 21 040 ; 463 ;;;
Архангельская область;СЗФО;2021;Вовлечение молодeжи в здоровый образ жизни и занятия спортом, популяризация культуры безопасности в молодeжной среде;26; 3 117 100 ; 743 496 ; 8 ; 543 900,00 ; 156 490 ; 574 ;;;
Архангельская область;СЗФО;2021;Развитие молодeжного самоуправления;27; 5 346 219 ; 338 946 ; 1 ; 137 260,00 ; 11 517 ;;;;
Астраханская  область;ЮФО;2021;Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:;1; 1 246 814 ; 625 745 ; 8 ; 893 804 ; 12 110 ; 102 ;;;
Астраханская  область;ЮФО;2021;      биомедицина;2; -   ; -   ; -   ; -   ; 300 ; -   ;;;
Астраханская  область;ЮФО;2021;"      промышленные технологии
      (нанотехнологии, композиты, пр.)";3; -   ; -   ; -   ; -   ; 50 ; 3 ;;;
Астраханская  область;ЮФО;2021;      аэрокосмос;4; -   ; -   ; -   ; -   ; -   ; -   ;;;
Астраханская  область;ЮФО;2021;      сельское хозяйство;5; 893 804 ; 73 805 ; 8 ; 893 804 ; 283 ; 12 ;;;
Астраханская  область;ЮФО;2021;"      информационные технологии - IT
      (в том числе робототехника)";6; -   ; 500 000 ; -   ; -   ; 3 195 ; 26 ;;;
